Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,CPU_vel,GPU_name_encoded,Ram,first_type_name_encoded,first_size,second_type_name_encoded,second_size,Touchscreen,Ips,Inches,ppi,os_name_encoded,Price
10,3,24,2.7,2,8,3,256,2,0,0,1,14.0,157.3505121487356,1,12400
2,3,25,1.6,2,8,3,256,2,0,0,0,14.0,157.3505121487356,2,19500
7,3,25,2.5,2,8,3,256,2,0,0,0,15.6,141.21199808219862,2,14300
2,4,26,2.8,3,16,3,512,2,0,0,0,15.6,141.21199808219862,2,41200
7,3,24,2.0,0,4,1,0,2,0,0,0,15.6,100.45466986113651,2,9100
7,3,27,1.6,2,4,3,32,2,0,0,0,14.0,111.93520355955211,2,4700
10,3,25,2.5,2,4,1,1000,2,0,0,0,15.6,141.21199808219862,2,11400
2,1,26,2.8,3,12,1,1000,2,0,0,0,17.3,127.33567457123111,1,19700
13,4,25,2.5,2,4,3,128,2,0,1,0,13.5,200.84255993695703,2,22600
4,4,26,1.8,0,8,3,256,2,0,0,1,13.3,165.6321180513006,2,19800
4,3,26,1.8,0,8,3,256,2,0,0,0,15.6,141.21199808219862,2,18000
11,1,25,2.5,3,8,3,128,0,1000,0,0,17.3,127.33567457123111,2,22700
0,3,24,2.0,2,8,1,1000,2,0,0,0,14.0,111.93520355955211,2,8000
2,1,26,2.8,3,8,1,1000,2,0,0,0,15.6,141.21199808219862,2,19700
10,3,25,2.5,2,8,1,2000,2,0,0,0,15.6,141.21199808219862,1,10700
4,3,26,1.8,2,8,3,128,0,1000,0,0,15.6,141.21199808219862,2,17700
0,3,24,2.7,3,4,1,1000,2,0,0,0,15.6,141.21199808219862,2,11000
7,3,25,1.6,3,8,3,128,0,1000,0,0,17.3,127.33567457123111,2,20300
4,4,25,1.6,2,8,3,256,2,0,0,1,15.6,141.21199808219862,2,22700
1,4,25,1.3,2,8,3,512,2,0,0,1,12.0,226.41554716935852,0,31300
7,3,25,1.6,2,8,3,256,2,0,0,0,14.0,157.3505121487356,2,17800
10,3,7,2.5,0,4,3,128,2,0,0,0,15.6,141.21199808219862,2,8200
0,3,11,3.0,0,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,8200
4,1,26,2.8,3,16,3,128,0,1000,0,1,15.6,141.21199808219862,2,28000
7,4,26,1.8,3,8,3,256,2,0,0,1,15.6,141.21199808219862,2,14500
7,3,25,2.5,2,8,3,256,2,0,0,0,15.6,141.21199808219862,2,12400
2,1,26,2.8,3,16,3,128,0,1000,0,1,15.6,141.21199808219862,2,30100
4,4,26,1.8,2,8,3,256,2,0,0,1,13.3,165.6321180513006,2,34200
2,1,21,3.0,0,8,1,1000,2,0,0,0,15.6,141.21199808219862,2,14500
0,3,26,1.8,3,8,1,1000,2,0,0,0,15.6,141.21199808219862,2,14300
7,3,26,1.8,2,16,3,512,2,0,0,0,13.3,165.6321180513006,2,24800
4,1,25,2.5,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,24800
2,4,26,2.7,2,8,3,256,2,0,0,0,14.0,157.3505121487356,2,21700
0,0,25,1.6,2,8,3,256,2,0,1,1,13.3,165.6321180513006,2,17500
4,3,26,2.7,0,8,1,1000,2,0,0,0,15.6,141.21199808219862,1,12400
4,3,24,2.0,0,4,3,256,2,0,0,0,15.6,141.21199808219862,1,10000
2,3,24,2.4,3,6,3,256,2,0,0,0,15.6,141.21199808219862,2,11900
7,1,26,2.8,3,12,3,128,0,1000,0,1,15.6,141.21199808219862,2,25900
7,3,26,2.7,0,8,3,256,2,0,0,0,15.6,141.21199808219862,2,14900
7,3,19,1.5,0,4,1,0,2,0,0,0,15.6,141.21199808219862,2,7200
4,3,25,1.6,0,8,1,1000,2,0,0,0,15.6,141.21199808219862,1,13400
7,4,26,2.7,3,8,3,256,2,0,0,1,13.3,165.6321180513006,2,23200
13,4,25,2.5,2,8,3,256,2,0,1,0,13.5,200.84255993695703,2,27800
7,3,25,2.5,3,6,3,256,2,0,0,1,14.0,157.3505121487356,2,13600
10,3,24,2.0,2,4,1,1000,2,0,0,0,15.6,141.21199808219862,2,8600
2,4,26,2.7,3,8,3,256,2,0,0,1,14.0,157.3505121487356,2,24700
11,1,26,2.8,3,16,3,256,0,1000,0,0,15.6,141.21199808219862,2,26900
10,3,26,2.7,2,8,3,256,2,0,0,1,14.0,157.3505121487356,2,30700
2,4,26,1.8,3,16,3,256,0,1000,0,0,15.6,141.21199808219862,2,26200
4,4,26,2.4,2,8,3,256,2,0,1,0,13.3,276.053530085501,2,28600
10,0,25,2.5,2,8,3,256,2,0,1,1,13.3,165.6321180513006,2,29000
7,3,25,1.6,2,4,1,0,2,0,0,1,14.0,111.93520355955211,2,15000
4,4,25,1.6,2,8,3,256,2,0,0,1,13.3,165.6321180513006,2,33800
7,0,25,1.6,2,8,3,256,2,0,1,1,13.3,165.6321180513006,2,29000
7,3,26,1.8,2,8,3,512,2,0,0,0,14.0,157.3505121487356,2,22500
4,3,26,1.8,3,8,3,256,0,1000,0,1,15.6,141.21199808219862,2,23400
2,3,24,2.0,3,4,1,1000,2,0,0,0,17.3,127.33567457123111,2,11700
2,3,26,1.8,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,23200
0,3,24,2.4,2,6,1,1000,2,0,1,1,15.6,141.21199808219862,2,9900
11,1,26,2.8,3,16,3,256,0,2000,0,0,15.6,141.21199808219862,2,46500
10,3,25,2.5,3,8,3,256,2,0,0,0,15.6,141.21199808219862,1,13000
7,3,26,1.8,3,16,3,512,2,0,0,0,17.3,127.33567457123111,2,26400
0,3,11,3.0,0,4,3,256,2,0,0,0,15.6,100.45466986113651,2,9300
7,3,27,1.6,2,4,1,0,2,0,0,0,15.6,100.45466986113651,1,5300
7,3,25,1.6,2,8,1,1000,2,0,0,0,14.0,157.3505121487356,2,16800
2,3,13,1.5,0,4,3,64,2,0,0,0,14.0,111.93520355955211,2,5700
4,3,26,1.8,0,16,3,256,0,2000,0,0,17.3,127.33567457123111,2,29000
