Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_brand,CPU_vel,GPU,first_size,first_type,second_size,second_type,Touchscreen,Ips,X_res,Y_res,ppi,os,Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,GPU_name_encoded,first_type_name_encoded,second_type_name_encoded,os_name_encoded
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,20700,Intel Core i5,2.5,Nvidia,128,SSD,1000,HDD,0,1,1920,1080,141.21199808219862,Windows,10,1,25,3,3,0,2
HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,0 HDD,AMD Radeon R2,No OS,1.86,5300,AMD E-Series E2-9000e,1.5,AMD,0,HDD,0,None,0,0,1366,768,100.45466986113651,Others/No OS/Linux,7,3,19,0,1,2,1
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.62,17000,Intel Core i5,1.6,Intel,256,SSD,0,None,1,0,1920,1080,165.6321180513006,Windows,4,0,25,2,3,2,2
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.91,13600,Intel Core i7,1.8,Intel,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,7,4,26,2,3,2,2
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1000 HDD,Intel HD Graphics 520,Windows 10,2.3,8600,Intel Core i3,2.0,Intel,1000,HDD,0,None,0,0,1366,768,100.45466986113651,Windows,4,3,24,2,1,2,2
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128 Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,22800,Intel Core i5,1.6,Intel,128,Flash,0,None,0,0,1440,900,127.67794013309688,Mac,1,4,25,2,0,2,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,AMD Radeon 530,Windows 10,2.2,16600,Intel Core i5,1.6,AMD,256,SSD,0,None,0,0,1920,1080,141.21199808219862,Windows,4,3,25,0,3,2,2
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256 SSD +  256 SSD,Intel UHD Graphics 620,Windows 10,1.88,26900,Intel Core i7,1.9,Intel,256,SSD,256,SSD,0,0,1920,1080,141.21199808219862,Windows,4,4,26,2,3,3,2
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1000 HDD,Nvidia GeForce 930MX,Windows 10,2.5,18600,Intel Core i5,1.6,Nvidia,1000,HDD,0,None,0,0,1920,1080,127.33567457123111,Windows,7,3,25,3,1,2,2
Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64 Flash Storage,Intel HD Graphics,Windows 10,1.89,5000,Other Intel Processor,1.44,Intel,64,Flash,0,None,0,0,1920,1080,141.21199808219862,Windows,3,3,27,2,0,2,2
